CustomerID,Age,AnnualIncome,PurchaseFrequency,AvgOrderValue,TotalSpend,RecencyDays,TenureMonths,DiscountAffinity,NumReturns,SatisfactionScore,Gender,Region,PreferredCategory,PreferredChannel,Segment,SegmentName
CUST00001,57,103684.99,25,82.08,2051.99,1,16,0.265,1,5,Female,West,Electronics,In-Store,0,High-Value Loyalists
CUST00002,26,36809.89,15,13.69,205.41,62,7,0.73,1,3,Female,North,Fashion,Mobile App,1,Young Trend Seekers
CUST00003,36,75111.32,3,56.4,169.19,128,28,0.211,1,3,Male,South,Sports,In-Store,3,At-Risk / Occasional
CUST00004,22,54104.2,1,31.47,31.47,20,52,0.252,0,3,Female,South,Groceries,In-Store,3,At-Risk / Occasional
CUST00005,44,41771.5,4,34.29,137.15,52,36,0.696,0,3,Female,North,Groceries,In-Store,2,Budget Shoppers
CUST00006,30,41192.74,6,24.23,145.39,13,46,0.838,1,3,Male,East,Groceries,Online,2,Budget Shoppers
CUST00007,68,54448.31,12,41.49,497.82,31,23,0.655,2,5,Female,West,Home & Garden,In-Store,2,Budget Shoppers
CUST00008,21,37017.79,11,16.27,178.92,11,25,0.381,0,3,Female,North,Fashion,Mobile App,1,Young Trend Seekers
CUST00009,36,64050.21,5,96.87,484.36,5,27,0.714,0,2,Male,South,Books,Mobile App,2,Budget Shoppers
CUST00010,18,27121.96,2,35.47,70.95,82,44,0.123,0,4,Female,Central,Fashion,Online,3,At-Risk / Occasional
CUST00011,45,34372.29,6,41.73,250.4,17,53,0.585,1,3,Female,South,Books,In-Store,2,Budget Shoppers
CUST00012,23,24257.87,13,48.85,635.11,6,1,0.849,0,4,Female,West,Beauty,Mobile App,1,Young Trend Seekers
CUST00013,19,45550.99,12,34.29,411.5,17,5,0.454,2,2,Female,North,Beauty,Mobile App,1,Young Trend Seekers
CUST00014,59,18000.0,3,36.87,110.6,7,14,0.741,1,3,Male,South,Groceries,In-Store,2,Budget Shoppers
CUST00015,46,41758.85,11,20.08,220.88,32,23,0.82,1,3,Male,Central,Books,In-Store,2,Budget Shoppers
CUST00016,45,50676.78,9,19.23,173.07,17,8,0.567,0,4,Female,North,Groceries,In-Store,2,Budget Shoppers
CUST00017,30,111241.59,24,265.68,6376.29,24,60,0.209,3,3,Female,East,Electronics,Mobile App,0,High-Value Loyalists
CUST00018,34,62057.52,1,41.22,41.22,9,29,0.061,0,3,Male,Central,Beauty,Mobile App,3,At-Risk / Occasional
CUST00019,51,73589.99,25,100.7,2517.51,1,55,0.103,1,4,Male,North,Fashion,In-Store,0,High-Value Loyalists
CUST00020,41,116049.8,27,145.01,3915.24,24,51,0.321,1,4,Female,North,Sports,In-Store,0,High-Value Loyalists
CUST00021,49,50432.56,2,66.4,132.79,171,3,0.606,0,3,Male,North,Home & Garden,In-Store,3,At-Risk / Occasional
CUST00022,54,38755.37,5,17.39,86.94,34,41,0.8,1,2,Female,Central,Home & Garden,In-Store,2,Budget Shoppers
CUST00023,45,94317.03,23,95.97,2207.28,3,45,0.203,1,3,Male,East,Electronics,In-Store,0,High-Value Loyalists
CUST00024,58,122411.52,18,80.02,1440.3,43,33,0.005,2,4,Female,Central,Fashion,Online,0,High-Value Loyalists
CUST00025,43,76725.71,15,110.58,1658.68,8,84,0.147,2,3,Other,West,Electronics,Online,0,High-Value Loyalists
CUST00026,34,47864.91,4,31.36,125.44,43,1,0.156,1,2,Female,West,Electronics,Online,3,At-Risk / Occasional
CUST00027,52,54618.65,9,32.62,293.62,13,22,0.807,1,3,Female,North,Home & Garden,Mobile App,2,Budget Shoppers
CUST00028,58,65040.59,1,23.7,23.7,41,14,0.502,0,3,Male,West,Toys,In-Store,2,Budget Shoppers
CUST00029,19,65798.72,2,31.23,62.45,365,18,0.43,0,2,Female,North,Electronics,Online,3,At-Risk / Occasional
CUST00030,40,39277.77,7,8.0,56.0,4,44,0.681,0,4,Female,West,Groceries,In-Store,2,Budget Shoppers
CUST00031,44,53167.32,1,72.39,72.39,78,13,0.201,0,3,Female,Central,Sports,Mobile App,3,At-Risk / Occasional
CUST00032,46,38083.59,5,24.88,124.42,36,38,0.766,2,4,Female,South,Books,Mobile App,2,Budget Shoppers
CUST00033,39,51359.14,4,27.29,109.17,35,43,0.811,1,3,Male,West,Home & Garden,In-Store,2,Budget Shoppers
